City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,forster,-32.1667,152.5167,12.94,95,100,1.19,AU,1719880547
288,zabid,14.1951,43.3152,32.54,44,100,5.59,YE,1719880557
289,suntar,62.1444,117.6319,24.78,54,75,2.22,RU,1719880567
290,seaside,36.6111,-121.8516,19.95,82,0,4.47,US,1719880577
291,oranjemund,-28.55,16.4333,11.9,88,2,1.12,,1719880587
292,porto novo,6.4965,2.6036,25.14,87,100,3.59,BJ,1719880597
293,goz beida,13.95,20.55,29.48,46,48,3.29,TD,1719880607
294,meadow lakes,61.6247,-149.6011,18.68,63,100,1.54,US,1719880617
295,howrah,22.5892,88.3103,28.0,94,100,0.0,IN,1719880627
296,saipan,15.1355,145.701,32.39,66,20,5.66,MP,1719880637
297,hassi messaoud,31.6804,6.0729,35.92,19,11,9.26,DZ,1719880647
298,crane,31.3974,-102.3501,33.85,28,0,10.64,US,1719880657
299,broome,42.2506,-75.833,20.21,59,0,3.6,US,1719880668
300,nova sintra,14.8667,-24.7167,23.73,81,100,8.68,CV,1719880678
301,vila franca do campo,37.7167,-25.4333,19.23,99,0,2.52,PT,1719880688
302,tazovsky,67.4667,78.7,4.81,70,23,4.39,RU,1719880698
303,al hudaydah,14.7978,42.9545,32.67,54,100,7.55,YE,1719880708
304,port alfred,-33.5906,26.891,16.77,96,97,3.8,ZA,1719880718
305,masterton,-40.9597,175.6575,9.38,94,100,5.18,NZ,1719880728
306,taro,-8.3862,115.28,23.0,96,100,1.16,ID,1719880738
307,veinticinco de mayo,-35.4323,-60.1727,8.32,79,0,1.98,AR,1719880748
308,brisas de zicatela,15.8369,-97.0419,25.0,92,100,1.68,MX,1719880758
309,asau,46.4333,26.4,19.51,78,37,2.61,RO,1719880768
310,kourou,5.1552,-52.6478,27.03,92,100,2.27,GF,1719880778
311,nelson bay,-32.7167,152.15,12.27,97,75,7.2,AU,1719880788
312,kinablangan,7.6947,126.5503,27.63,68,89,1.1,PH,1719880798
313,tobelo,1.7284,128.0095,28.19,73,92,1.51,ID,1719880528
314,gannan,47.9147,123.5031,28.71,35,0,1.12,CN,1719880819
315,meadow lake,34.8014,-106.5436,22.99,81,100,4.04,US,1719880829
316,levelland,33.5873,-102.378,35.11,25,6,8.2,US,1719880687
317,tolanaro,-25.0319,46.9987,13.04,94,20,0.0,MG,1719880849
318,avdiyivka,48.1399,37.7426,21.86,45,6,1.43,UA,1719880859
319,guthrie,35.8789,-97.4253,36.6,45,0,8.23,US,1719880869
320,antonio enes,-16.2325,39.9086,22.3,78,20,3.14,MZ,1719880879
321,wendouree,-37.55,143.8333,7.48,70,4,1.34,AU,1719880889
322,igarka,67.4667,86.5833,5.47,74,93,7.19,RU,1719880899
323,ironwood,46.4547,-90.171,21.45,43,0,6.69,US,1719880910
324,aden,12.7794,45.0367,30.48,73,100,2.16,YE,1719880920
325,itaiba,-8.9475,-37.4228,19.26,91,56,4.02,BR,1719880930
326,touros,-5.1989,-35.4608,24.37,85,0,5.54,BR,1719880940
327,portland,45.5234,-122.6762,27.58,52,40,5.14,US,1719880937
328,queenstown,-31.8976,26.8753,9.89,61,63,2.44,ZA,1719880960
329,ostrov,57.3439,28.3537,15.85,73,99,1.32,RU,1719880970
330,raahe,64.6833,24.4833,15.05,99,100,4.99,FI,1719880980
331,diego de almagro,-26.3667,-70.05,15.62,22,0,0.87,CL,1719880990
332,spring valley,36.108,-115.245,40.66,10,20,9.77,US,1719880961
333,keelung,25.1283,121.7419,32.97,64,89,1.94,TW,1719881010
334,grand rapids,42.9634,-85.6681,22.21,43,75,4.12,US,1719880794
335,saint-jean-de-monts,46.7833,-2.0667,16.26,87,100,6.16,FR,1719881030
336,camacupa,-12.0167,17.4833,13.4,45,0,1.47,AO,1719881040
337,juegang,32.3174,121.1855,32.21,81,100,8.13,CN,1719881051
338,qingyuan,23.7,113.0333,28.99,88,100,3.15,CN,1719881061
339,la puebla de cazalla,37.2216,-5.3115,20.56,57,0,1.72,ES,1719881071
340,zaragoza,41.6561,-0.8773,19.45,65,0,8.23,ES,1719881081
341,tazacorte,28.629,-17.9293,20.54,94,100,7.2,ES,1719881091
342,soledar,48.6794,38.089,20.82,56,6,0.44,UA,1719881101
343,yuanping,38.7153,112.7575,20.42,76,100,2.04,CN,1719881111
344,manosque,43.8288,5.7869,19.2,75,0,4.7,FR,1719881121
